央视频道,#genre#
CCTV1 综合,http://192.168.1.1:7088/rtp/239.76.253.151:9000
CCTV2 财经,http://192.168.1.1:7088/rtp/239.76.253.152:9000
CCTV3 综艺,http://192.168.1.1:7088/rtp/239.76.253.153:9000
CCTV4 中文国际,http://192.168.1.1:7088/rtp/239.76.253.154:9000
CCTV5 体育,http://192.168.1.1:7088/rtp/239.76.253.155:9000
CCTV6 电影,http://192.168.1.1:7088/rtp/239.76.253.156:9000
CCTV7 国防军事,http://192.168.1.1:7088/rtp/239.76.253.157:9000
CCTV8 电视剧,http://192.168.1.1:7088/rtp/239.76.253.158:9000
CCTV9 纪录,http://192.168.1.1:7088/rtp/239.76.253.159:9000
CCTV10 科教,http://192.168.1.1:7088/rtp/239.76.253.160:9000
CCTV11 戏曲,http://192.168.1.1:7088/rtp/239.76.252.251:9000
CCTV12 社会与法,http://192.168.1.1:7088/rtp/239.76.253.162:9000
CCTV13 新闻,http://192.168.1.1:7088/rtp/239.76.253.93:9000
CCTV14 少儿,http://192.168.1.1:7088/rtp/239.76.253.164:9000
CCTV15 音乐,http://192.168.1.1:7088/rtp/239.76.252.252:9000
CCTV16 奥林匹克,http://192.168.1.1:7088/rtp/239.76.253.98:9000
CCTV17 农业农村,http://192.168.1.1:7088/rtp/239.76.252.238:9000
CCTV-5+,http://192.168.1.1:7088/rtp/239.76.253.168:9000
风云足球,http://192.168.1.1:7088/rtp/239.76.254.52:9000
风云音乐,http://192.168.1.1:7088/rtp/239.76.254.51:9000
风云剧场,http://192.168.1.1:7088/rtp/239.76.254.50:9000
第一剧场,http://192.168.1.1:7088/rtp/239.76.254.49:9000
怀旧剧场,http://192.168.1.1:7088/rtp/239.76.254.53:9000
兵器科技,http://192.168.1.1:7088/rtp/239.76.254.59:9000
世界地理,http://192.168.1.1:7088/rtp/239.76.254.57:9000
央视台球,http://192.168.1.1:7088/rtp/239.76.254.58:9000
女性时尚,http://192.168.1.1:7088/rtp/239.76.254.55:9000
高尔夫·网球,http://192.168.1.1:7088/rtp/239.76.254.62:9000
央视文化精品,http://192.168.1.1:7088/rtp/239.76.254.56:9000

卫视频道,#genre#
湖南卫视,http://192.168.1.1:7088/rtp/239.76.253.101:9000
东方卫视,http://192.168.1.1:7088/rtp/239.76.253.186:9000
浙江卫视,http://192.168.1.1:7088/rtp/239.76.253.182:9000
江苏卫视,http://192.168.1.1:7088/rtp/239.76.253.181:9000
安徽卫视,http://192.168.1.1:7088/rtp/239.76.252.196:9000
北京卫视,http://192.168.1.1:7088/rtp/239.76.253.184:9000
天津卫视,http://192.168.1.1:7088/rtp/239.76.253.185:9000
江西卫视,http://192.168.1.1:7088/rtp/239.76.252.225:9000
深圳卫视,http://192.168.1.1:7088/rtp/239.76.253.188:9000
辽宁卫视,http://192.168.1.1:7088/rtp/239.76.252.197:9000
东南卫视,http://192.168.1.1:7088/rtp/239.76.252.190:9000
海南卫视,http://192.168.1.1:7088/rtp/239.76.253.203:9000
广东卫视,http://192.168.1.1:7088/rtp/239.76.252.189:9000
广西卫视,http://192.168.1.1:7088/rtp/239.76.254.54:9000
湖北卫视,http://192.168.1.1:7088/rtp/239.76.253.193:9000
山东卫视,http://192.168.1.1:7088/rtp/239.76.253.195:9000
四川卫视,http://192.168.1.1:7088/rtp/239.76.253.91:9000
重庆卫视,http://192.168.1.1:7088/rtp/239.76.253.92:9000
云南卫视,http://192.168.1.1:7088/rtp/239.76.254.60:9000
河南卫视,http://192.168.1.1:7088/rtp/239.76.253.202:9000
黑龙江卫视,http://192.168.1.1:7088/rtp/239.76.253.200:9000
贵州卫视,http://192.168.1.1:7088/rtp/239.76.252.198:9000
河北卫视,http://192.168.1.1:7088/rtp/239.76.252.199:9000
吉林卫视,http://192.168.1.1:7088/rtp/239.76.253.201:9000
陕西卫视,http://192.168.1.1:7088/rtp/239.76.254.76:9000
青海卫视,http://192.168.1.1:7088/rtp/239.76.254.132:9000

湖南频道,#genre#
长沙综合,http://192.168.1.1:7088/rtp/239.76.253.121:9000
长沙政法,http://192.168.1.1:7088/rtp/239.76.253.122:9000
长沙女性,http://192.168.1.1:7088/rtp/239.76.252.23:9000
长沙影视,http://192.168.1.1:7088/rtp/239.76.252.204:9000
湖南教育,http://192.168.1.1:7088/rtp/239.76.252.233:9000
湖南都市,http://192.168.1.1:7088/rtp/239.76.252.117:9000
湖南经视,http://192.168.1.1:7088/rtp/239.76.252.116:9000
湖南娱乐,http://192.168.1.1:7088/rtp/239.76.252.121:9000
湖南国际,http://192.168.1.1:7088/rtp/239.76.252.124:9000
湖南爱晚,http://192.168.1.1:7088/rtp/239.76.252.123:9000
湖南电影,http://192.168.1.1:7088/rtp/239.76.252.119:9000
湖南电视剧,http://192.168.1.1:7088/rtp/239.76.252.118:9000
茶频道,http://192.168.1.1:7088/rtp/239.76.252.239:9000
金鹰纪实,http://192.168.1.1:7088/rtp/239.76.252.122:9000
金鹰卡通,http://192.168.1.1:7088/rtp/239.76.252.120:9000
快乐垂钓,http://192.168.1.1:7088/rtp/239.76.253.5:9000

凤凰卫视,#genre#
凤凰中文,http://192.168.1.1:7088/rtp/239.76.253.135:9000
凤凰资讯,http://192.168.1.1:7088/rtp/239.76.253.134:9000
